id;proceso;tipo_riesgo;descripcion;clasificacion;frecuencia;afectacion_economica;impacto_reputacional;probabilidad_inherente;impacto_inherente;zona_riesgo;afectacion;tipo_control;implementacion;calificacion_control;documentado;frecuencia_control;evidencia;probabilidad;impacto;probabilidad_residual_final;impacto_residual_final;zona_de_riesgo_final;riesgo_residual;tratamiento;plan_accion;responsable;fecha_implementacion;seguimiento_control_existente;estado;observaciones;fecha_monitoreo;amenaza_id;vulnerabilidad_id
1;recent doorpost;CONFIDENTIALITY;doodle likewise oddly;DAMAGE;29921;HIGHEST;LOW;LOW;MEDIUM;HIGH;IMPACT;DETECTIVE;AUTOMATIC;56;true;RANDOM;true;29604;32693;HIGH;HIGH;MEDIUM;unto;TRANSFER;against mobilise;pension nor;2024-11-09;smog questionable;chiffonier blah other;advancement;2024-11-09;1;1
2;where hm;INTEGRITY;consequently;DAMAGE;16078;HIGHEST;HIGH;HIGHEST;HIGHEST;HIGHEST;IMPACT;DETECTIVE;MANUAL;33;true;CONTINUOUS;false;10701;18049;MEDIUM;HIGH;LOW;sunbeam;AVOID;incidentally vastly yum;carelessly toady;2024-11-09;enhance better once;inside;override triangular;2024-11-09;2;2
3;hopeful;CONFIDENTIALITY;finally hourly;RELATIONS;21354;LOWEST;LOWEST;LOW;HIGH;MEDIUM;IMPACT;DETECTIVE;MANUAL;43;false;CONTINUOUS;false;18623;502;MEDIUM;HIGHEST;LOW;whether ugh;ACCEPT;gratefully;beneath deflate finished;2024-11-10;legend;whoever;providence fooey;2024-11-10;3;3
4;so;AVAILABILITY;without that before;DAMAGE;2427;LOWEST;LOWEST;LOW;LOW;HIGH;IMPACT;CORRECTIVE;MANUAL;97;false;CONTINUOUS;true;11635;1334;LOWEST;HIGHEST;LOW;notwithstanding;ACCEPT;mom;roughly;2024-11-09;tenderly average;informal small mid;blah;2024-11-09;4;4
5;partridge cram;INTEGRITY;incidentally vengeful;EXECUTION;9334;MEDIUM;HIGHEST;LOWEST;LOW;LOWEST;PROBABILITY;DETECTIVE;MANUAL;48;true;CONTINUOUS;false;19511;31345;MEDIUM;LOWEST;MEDIUM;furthermore catch despite;AVOID;sew;anenst including weary;2024-11-09;portly;ick;and;2024-11-09;5;5
6;furthermore;INTEGRITY;gee excess gee;EXECUTION;5241;LOWEST;HIGH;MEDIUM;MEDIUM;LOWEST;PROBABILITY;DETECTIVE;MANUAL;73;false;RANDOM;true;201;6251;MEDIUM;LOWEST;LOWEST;pendant;ACCEPT;pharmacopoeia degrease;because;2024-11-10;pish above;derby bind;times;2024-11-09;6;6
7;furlough;CONFIDENTIALITY;deprave via hence;HUMAN;20846;HIGHEST;LOWEST;LOWEST;MEDIUM;HIGHEST;IMPACT;PREVENTIVE;AUTOMATIC;60;false;RANDOM;true;24486;19728;MEDIUM;HIGH;LOW;bracelet rubric whoever;ACCEPT;physically seemingly slowly;ick sharply per;2024-11-09;for;puritan hence how;following skeleton insolence;2024-11-09;7;7
8;fiercely irresponsible hm;AVAILABILITY;vanish;HUMAN;31558;HIGH;LOW;HIGHEST;HIGHEST;HIGHEST;IMPACT;CORRECTIVE;AUTOMATIC;61;true;CONTINUOUS;true;11486;1938;LOW;LOWEST;LOWEST;hence gadzooks;ACCEPT;which;porter hence;2024-11-09;irritably pendant staid;inscribe jump about;goodwill disk;2024-11-09;8;8
9;diver once;AVAILABILITY;amid;EXECUTION;18372;HIGHEST;HIGHEST;LOW;MEDIUM;MEDIUM;IMPACT;PREVENTIVE;AUTOMATIC;66;false;RANDOM;true;27595;17180;LOWEST;LOW;HIGHEST;readily hard-to-find gee;REDUCE;among duh hunger;lest;2024-11-09;so provided;since sunder;unlike snuggle apud;2024-11-09;9;9
10;digestive;INTEGRITY;geez;RELATIONS;27982;HIGH;HIGHEST;LOW;HIGHEST;HIGH;PROBABILITY;DETECTIVE;MANUAL;15;true;CONTINUOUS;false;32279;19532;HIGH;MEDIUM;HIGH;throughout;REDUCE;huzzah off;mealy;2024-11-09;nor confound colon;during tabulate;highly;2024-11-10;10;10
