id;proceso;nombre;descripcion;tipo_activo;ley_1581;clasificacion_informacion_1712;ley_1266;formato;propietario;usuario;custodio;usuario_final;fecha;estado_activo;fecha_ingreso;fecha_retiro
1;IMPROVEMENT;intent;towards;AUX;true;PUBLIC;true;NA;yippee instead;gallivant ouch;tenant brr flint;given silently;2024-11-09;ugh whoa;2024-11-10;2024-11-10
2;IMPROVEMENT;which though um;freckle;COM;true;PUBLIC;false;EXCEL;leading tenderly;license;embed stoop;abaft;2024-11-10;kindheartedly waist resource;2024-11-09;2024-11-09
3;IMPROVEMENT;crackle uh-huh anneal;after;DAT;false;PUBLIC;false;EXCEL;er;lox sternly opposite;yet;taro;2024-11-09;headline consequently;2024-11-10;2024-11-10
4;EVALUATION;wound clamour;inasmuch plastic;SI;false;NONPUBLIC;true;PDF;gleefully;absolve;circa;minus energetically famously;2024-11-09;culminate yet alongside;2024-11-09;2024-11-09
5;SUPPORT;bobble;as;SI;true;CLASSIFIED;false;EXCEL;coaxingly deeply off;shrill thongs;jam-packed;taro as;2024-11-10;ack swiftly;2024-11-09;2024-11-09
6;IMPROVEMENT;victoriously outside now;allegation unlucky duh;AUX;false;PUBLIC;false;EXCEL;hundred;wonderful ruin;glaring outflank;yet even;2024-11-10;although;2024-11-09;2024-11-09
7;MISSION;through;cemetery;AUX;false;RESTRICTED;true;MULTIMEDIA;parody;ugh;vice astride excluding;above joyously;2024-11-09;airbrush tooth bravely;2024-11-09;2024-11-09
8;SUPPORT;redound hm;though unhealthy;SW;false;RESTRICTED;false;NA;deeply barring;never oddly;lender once lazily;consequently great furthermore;2024-11-09;since;2024-11-09;2024-11-09
9;STRATEGIC;strictly bleakly;bossy oof across;DAT;true;CLASSIFIED;true;MULTIMEDIA;other;hopelessly swath toward;aha;honesty;2024-11-09;inside;2024-11-09;2024-11-09
10;MISSION;supportive fooey;innocently boohoo;HW;false;CLASSIFIED;false;TEXT;but;reboot underneath ha;patiently;eventually;2024-11-10;colon briskly however;2024-11-09;2024-11-09
